,results
14,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'DFF72463A38A0136E0430A83942707F6', 'geometry': {'points': [[610308.9986983498, 266181.9998381971]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610308.9986983498, 266181.9998381971, 610308.9986983498, 266181.9998381971], 'attributes': {'accidentday_fr': 'lundi / 18h-19h / juin 2013', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 18h-19h / Juni 2013', 'accidentday_it': 'Lunedí / 18h-19h / Giugno 2013', 'accidentyear': 2013, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'DFF72463A38A0136E0430A83942707F6'}"
15,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'DE659F9290660084E0430A83942745F9', 'geometry': {'points': [[610374.9994995451, 266341.00022254454]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610374.9994995451, 266341.00022254454, 610374.9994995451, 266341.00022254454], 'attributes': {'accidentday_fr': 'jeudi / 10h-11h / mai 2013', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 10h-11h / Mai 2013', 'accidentday_it': 'Giovedì / 10h-11h / Maggio 2013', 'accidentyear': 2013, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'DE659F9290660084E0430A83942745F9'}"
16,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'D134349C81C40004E0430A839427D02D', 'geometry': {'points': [[610290.9990632604, 265966.99984972045]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610290.9990632604, 265966.99984972045, 610290.9990632604, 265966.99984972045], 'attributes': {'accidentday_fr': 'lundi / 20h-21h / novembre 2012', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 20h-21h / November 2012', 'accidentday_it': 'Lunedí / 20h-21h / Novembre 2012', 'accidentyear': 2012, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'D134349C81C40004E0430A839427D02D'}"
17,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'AD855B6DB65700F6E0430A83942700F6', 'geometry': {'points': [[610288.9991039534, 265943.99985255976]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610288.9991039534, 265943.99985255976, 610288.9991039534, 265943.99985255976], 'attributes': {'accidentday_fr': 'lundi / 09h-10h / septembre 2011', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 09h-10h / September 2011', 'accidentday_it': 'Lunedí / 09h-10h / Settembre 2011', 'accidentyear': 2011, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'AD855B6DB65700F6E0430A83942700F6'}"
18,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'A5CF00018C93F028E0430A865E33F028', 'geometry': {'points': [[610306.9989227479, 266052.99986019393]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610306.9989227479, 266052.99986019393, 610306.9989227479, 266052.99986019393], 'attributes': {'accidentday_fr': 'mardi / 18h-19h / mai 2011', 'severitycategorycode': 'USV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Dienstag / 18h-19h / Mai 2011', 'accidentday_it': 'Martedì / 18h-19h / Maggio 2011', 'accidentyear': 2011, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'A5CF00018C93F028E0430A865E33F028'}"
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '5D8DCDBA874C007EE0530A839427759B', 'geometry': {'points': [[610005.0009537752, 266892.00305582373]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610005.0009537752, 266892.00305582373, 610005.0009537752, 266892.00305582373], 'attributes': {'accidentday_fr': 'vendredi / 10h-11h / septembre 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 10h-11h / September 2017', 'accidentday_it': 'Venerdì / 10h-11h / Settembre 2017', 'accidentyear': 2017, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '5D8DCDBA874C007EE0530A839427759B'}"
1,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '56F0DA7AA5E8018CE0530A839427A134', 'geometry': {'points': [[610130.0007056698, 266961.00219216093]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610130.0007056698, 266961.00219216093, 610130.0007056698, 266961.00219216093], 'attributes': {'accidentday_fr': 'jeudi / 10h-11h / juillet 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 10h-11h / Juli 2017', 'accidentday_it': 'Giovedì / 10h-11h / Luglio 2017', 'accidentyear': 2017, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '56F0DA7AA5E8018CE0530A839427A134'}"
2,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '57F25BE261A201BCE0530A8394277162', 'geometry': {'points': [[610425.0004062046, 266943.0006712034]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610425.0004062046, 266943.0006712034, 610425.0004062046, 266943.0006712034], 'attributes': {'accidentday_fr': 'lundi / 17h-18h / juillet 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 17h-18h / Juli 2017', 'accidentday_it': 'Lunedí / 17h-18h / Luglio 2017', 'accidentyear': 2017, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '57F25BE261A201BCE0530A8394277162'}"
3,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '4E7134D4A5410146E0530A839427EC43', 'geometry': {'points': [[610400.0006901879, 266677.00158248463]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610400.0006901879, 266677.00158248463, 610400.0006901879, 266677.00158248463], 'attributes': {'accidentday_fr': 'mardi / 18h-19h / avril 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Dienstag / 18h-19h / April 2017', 'accidentday_it': 'Martedì / 18h-19h / Aprile 2017', 'accidentyear': 2017, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '4E7134D4A5410146E0530A839427EC43'}"
4,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '4E20FABB74260074E0530A8394272599', 'geometry': {'points': [[610261.000870477, 266714.002500979]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610261.000870477, 266714.002500979, 610261.000870477, 266714.002500979], 'attributes': {'accidentday_fr': 'mercredi / 13h-14h / mars 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Mittwoch / 13h-14h / März 2017', 'accidentday_it': 'Mercoledì / 13h-14h / Marzo 2017', 'accidentyear': 2017, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '4E20FABB74260074E0530A8394272599'}"
5,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '482A855B4F110110E0530A839427F498', 'geometry': {'points': [[610287.0007995678, 266738.00221451104]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610287.0007995678, 266738.00221451104, 610287.0007995678, 266738.00221451104], 'attributes': {'accidentday_fr': 'lundi / 13h-14h / janvier 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 13h-14h / Januar 2017', 'accidentday_it': 'Lunedí / 13h-14h / Gennaio 2017', 'accidentyear': 2017, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '482A855B4F110110E0530A839427F498'}"
6,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '439B2CED226900BCE0530A8394270266', 'geometry': {'points': [[610246.0008677223, 266733.0025300764]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610246.0008677223, 266733.0025300764, 610246.0008677223, 266733.0025300764], 'attributes': {'accidentday_fr': 'dimanche / 17h-18h / novembre 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Sonntag / 17h-18h / November 2016', 'accidentday_it': 'Domenica / 17h-18h / Novembre 2016', 'accidentyear': 2016, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '439B2CED226900BCE0530A8394270266'}"
7,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '42823680FE660122E0530A839427B8D8', 'geometry': {'points': [[610247.0008675862, 266732.0025271488]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610247.0008675862, 266732.0025271488, 610247.0008675862, 266732.0025271488], 'attributes': {'accidentday_fr': 'lundi / 20h-21h / octobre 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 20h-21h / Oktober 2016', 'accidentday_it': 'Lunedí / 20h-21h / Ottobre 2016', 'accidentyear': 2016, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '42823680FE660122E0530A839427B8D8'}"
8,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '3C64EF0DF62B001EE0530A8394272674', 'geometry': {'points': [[610498.0004064695, 266845.00048160687]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610498.0004064695, 266845.00048160687, 610498.0004064695, 266845.00048160687], 'attributes': {'accidentday_fr': 'mercredi / 08h-09h / septembre 2016', 'severitycategorycode': 'USV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Mittwoch / 08h-09h / September 2016', 'accidentday_it': 'Mercoledì / 08h-09h / Settembre 2016', 'accidentyear': 2016, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '3C64EF0DF62B001EE0530A8394272674'}"
9,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '3FE7B99B523500E0E0530A8394277B37', 'geometry': {'points': [[610121.0009614083, 266827.00302149454]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610121.0009614083, 266827.00302149454, 610121.0009614083, 266827.00302149454], 'attributes': {'accidentday_fr': 'vendredi / 16h-17h / août 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 16h-17h / August 2016', 'accidentday_it': 'Venerdì / 16h-17h / Agosto 2016', 'accidentyear': 2016, 'label': 'Auffahrunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 2, 'accidenttype_fr': 'accident par tamponnement', 'accidenttype_de': 'Auffahrunfall', 'accidenttype_it': 'Incidente di tamponamento', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '3FE7B99B523500E0E0530A8394277B37'}"
10,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '365953A84D80004EE0530A839427EAC5', 'geometry': {'points': [[610440.00038383, 266952.0005679767]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610440.00038383, 266952.0005679767, 610440.00038383, 266952.0005679767], 'attributes': {'accidentday_fr': 'mardi / 23h-00h / mai 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Dienstag / 23h-00h / Mai 2016', 'accidentday_it': 'Martedì / 23h-00h / Maggio 2016', 'accidentyear': 2016, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '365953A84D80004EE0530A839427EAC5'}"
11,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '32B5C722011901EEE0530A839427C3D9', 'geometry': {'points': [[610544.0004866121, 266620.00056476524]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610544.0004866121, 266620.00056476524, 610544.0004866121, 266620.00056476524], 'attributes': {'accidentday_fr': 'dimanche / 16h-17h / avril 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Sonntag / 16h-17h / April 2016', 'accidentday_it': 'Domenica / 16h-17h / Aprile 2016', 'accidentyear': 2016, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '32B5C722011901EEE0530A839427C3D9'}"
12,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '2C70E14AFE8B019AE0530A8394276E8D', 'geometry': {'points': [[610286.000801063, 266738.0022216791]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610286.000801063, 266738.0022216791, 610286.000801063, 266738.0022216791], 'attributes': {'accidentday_fr': 'mercredi / 08h-09h / février 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Mittwoch / 08h-09h / Februar 2016', 'accidentday_it': 'Mercoledì / 08h-09h / Febbraio 2016', 'accidentyear': 2016, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '2C70E14AFE8B019AE0530A8394276E8D'}"
13,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '2B681493CDE000FAE0530A839427895E', 'geometry': {'points': [[610469.0005960895, 266652.00110775814]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610469.0005960895, 266652.00110775814, 610469.0005960895, 266652.00110775814], 'attributes': {'accidentday_fr': 'mercredi / 18h-19h / janvier 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Mittwoch / 18h-19h / Januar 2016', 'accidentday_it': 'Mercoledì / 18h-19h / Gennaio 2016', 'accidentyear': 2016, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '2B681493CDE000FAE0530A839427895E'}"
14,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '21C0CE0136420100E0530A839427E2DA', 'geometry': {'points': [[610547.000451838, 266420.00097033073]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610547.000451838, 266420.00097033073, 610547.000451838, 266420.00097033073], 'attributes': {'accidentday_fr': 'vendredi / 21h-22h / septembre 2015', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 21h-22h / September 2015', 'accidentday_it': 'Venerdì / 21h-22h / Settembre 2015', 'accidentyear': 2015, 'label': 'Frontalkollision', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 6, 'accidenttype_fr': 'collision frontale', 'accidenttype_de': 'Frontalkollision', 'accidenttype_it': 'Collisione frontale', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '21C0CE0136420100E0530A839427E2DA'}"
15,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '1B0E6D140079010AE0530A839427E71A', 'geometry': {'points': [[610609.0003274193, 266715.99992791505]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610609.0003274193, 266715.99992791505, 610609.0003274193, 266715.99992791505], 'attributes': {'accidentday_fr': 'mercredi / 18h-19h / juillet 2015', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Mittwoch / 18h-19h / Juli 2015', 'accidentday_it': 'Mercoledì / 18h-19h / Luglio 2015', 'accidentyear': 2015, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '1B0E6D140079010AE0530A839427E71A'}"
16,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '1A6C1F2B64D601C4E0530A839427620F', 'geometry': {'points': [[610270.0008538438, 266716.00242633454]], 'spatialReference': {'wkid': 21781}}, 'bbox': [610270.0008538438, 266716.00242633454, 610270.0008538438, 266716.00242633454], 'attributes': {'accidentday_fr': 'mercredi / 11h-12h / juin 2015', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Mittwoch / 11h-12h / Juni 2015', 'accidentday_it': 'Mercoledì / 11h-12h / Giugno 2015', 'accidentyear': 2015, 'label': 'Auffahrunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 2, 'accidenttype_fr': 'accident par tamponnement', 'accidenttype_de': 'Auffahrunfall', 'accidenttype_it': 'Incidente di tamponamento', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '1A6C1F2B64D601C4E0530A839427620F'}"
